NUMERO_NF,VALOR_RECEBIDO,DATA_VENCIMENTO,DATA_RECEBIMENTO,DATA_PROCESSAMENTO
9188850,54399.99,2023-08-26,2023-09-10,2023-08-30
9188850,54399.99,2023-09-26,2023-10-09,2023-08-30
9188850,52371.38,2023-10-26,2023-10-22,2023-08-30
8146055,443997.37,2023-08-26,2023-08-29,2023-08-30
7720260,223606.95,2023-08-26,2023-09-02,2023-08-30
7720260,224400.0,2023-09-26,2023-10-07,2023-08-30
6672198,52402.13,2023-08-26,2023-08-11,2023-08-30
6672198,52508.09,2023-09-26,2023-09-15,2023-08-30
5633695,27500.0,2023-07-26,2023-07-26,2023-08-30
5633695,28050.0,2023-08-26,2023-09-07,2023-08-30
