NUMERO_NF,VALOR_RECEBIDO,DATA_VENCIMENTO,DATA_RECEBIMENTO,DATA_PROCESSAMENTO
4805480,78035.34,2023-08-26,2023-09-03,2023-09-02
4805480,75507.36,2023-09-26,2023-09-23,2023-09-02
4805480,74990.82,2023-10-26,2023-10-17,2023-09-02
5087748,143451.64,2023-07-26,2023-07-18,2023-09-02
5087748,141265.61,2023-08-26,2023-08-11,2023-09-02
5087748,147806.18,2023-09-26,2023-09-28,2023-09-02
3968409,266751.98,2023-07-26,2023-07-22,2023-09-02
1864777,117300.0,2023-08-26,2023-09-08,2023-09-02
1864777,117300.0,2023-09-26,2023-10-07,2023-09-02
9041216,78712.75,2023-08-26,2023-08-25,2023-09-02
9041216,81390.25,2023-09-26,2023-10-02,2023-09-02
9017181,77483.18,2023-08-26,2023-08-11,2023-09-02
9017181,81600.0,2023-09-26,2023-10-08,2023-09-02
2334768,54245.6,2023-08-26,2023-08-22,2023-09-02
2334768,56010.91,2023-09-26,2023-10-05,2023-09-02
2109906,110649.8,2023-08-26,2023-08-11,2023-09-02
2109906,116886.2,2023-09-26,2023-10-03,2023-09-02
6283053,216571.37,2023-07-26,2023-07-23,2023-09-02
6283053,224393.53,2023-08-26,2023-09-02,2023-09-02
6859686,74799.99,2023-09-26,2023-10-11,2023-09-02
6859686,72260.14,2023-10-26,2023-10-21,2023-09-02
4431088,80000.0,2023-07-26,2023-07-26,2023-09-02
4431088,81282.5,2023-08-26,2023-09-02,2023-09-02
1892692,80953.63,2023-07-26,2023-07-28,2023-09-02
1892692,80637.29,2023-08-26,2023-08-28,2023-09-02
