NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,7712761,2023-06-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-06-01
Bahringer,49894456424451,amckiernan1e@spotify.com,405-61-1880,1180844,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605080,1733,LOTE 26,fornecedor,2023-06-01
Balistreri Group,63352013589599,cwallington1h@wp.com,606-41-4411,6884489,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605090,,,fornecedor,2023-06-01
Barrows Mayert,80309620979165,alongland28@acquirethisname.com,609-84-6532,8183821,2023-06-01,110000,5000,115000,Cooper,1,A vista,12605100,1373,LOTE 85,fornecedor,2023-06-01
Bartoletti,13690897431716,azanussii1m@vimeo.com,691-01-7572,9985136,2023-06-01,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-06-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,4721114,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-06-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,4721114,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-06-01
Bednar and Sons,36723912830595,,133-95-3943,2773317,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-06-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,,2023-06-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-06-01
Bogisich O'Keefe and Feil,93842293730171,bogissfh.ss@ss.com,742-63-3038,9823941,2023-06-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-06-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,9391810,2023-06-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-06-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,3631088,2023-06-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-06-01
Braun Group,43334040990743,mreeson5@github.io,189-25-6515,4889535,2023-06-01,180000,9000,189000,Escalade ESV,1,A vista,12605190,78,,fornecedor,2023-06-01
Carroll Koss,87903537246460,carrol.1234@fds.com,632-63-6534,5022530,2023-06-01,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-06-01
Casper Anderson,12005885504524,rcockman14@twitpic.com,313-34-5254,1406557,2023-06-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12345678,453,LOTE 41,fornecedor,2023-06-01
Cassin Bechtelar,34063284222224,elarwayp@smugmug.com,574-99-2797,,2023-06-01,150000,7000,157000,S10,1,30 dias,12605220,719,LOTE 79,fornecedor,2023-06-01
