NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,9569520,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Baumbach Kuvalis and Jacobson,91551047337401,ahancock25@wsj.com,214-28-9058,6007957,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-07-01
Bednar and Sons,36723912830595,oschroeder2k@ocn.ne.jp,133-95-3943,9189613,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-07-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,8460042,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-07-01
Bogisich O'Keefe and Feil,93842293730171,bogissfh.ss@ss.com,742-63-3038,8934386,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-07-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,6402186,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,8056778,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,2056553,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,2933657,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Bartoletti,13690897431716,azanussii1m@vimeo.com,691-01-7572,5804444,2023-07-01,70000,3000,73000,Azera,1,A vista,12605110,11,LOTE 91,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,3301351,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Carroll Koss,87903537246460,carrol.1234@fds.com,632-63-6534,9779142,2023-07-01,150000,7000,157000,Tacoma,1,A vista,12605200,997,LOTE 92,fornecedor,2023-07-01
Harvey Mraz,85762116440608,twillman2g@howstuffworks.com,612-34-0166,3299503,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-07-01
Baumbach Kuvalis and Jacobson,,ahancock25@wsj.com,214-28-9058,5867468,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-07-01
Bednar and Sons,36723912830595,oschroeder2k@ocn.ne.jp,133-95-3943,6125610,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-07-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,7079969,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-07-01
Bogisich O'Keefe and Feil,93842293730171,bogissfh.ss@ss.com,742-63-3038,6424901,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-07-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,5340721,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,8736964,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Harvey Mraz,85762116440608,twillman2g@howstuffworks.com,612-34-0166,7292216,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-07-01
Harvey Mraz,85762116440608,twillman2g@howstuffworks.com,612-34-0166,1721112,2023-07-01,180000,9000,189000,Escalade ESV,1,30/60 dias,41301050,349,LOTE 68,fornecedor,2023-07-01
Bosco  Parker and Heller,,wglendinningk@europa.eu,835-83-3066,6725816,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,4047651,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,6302145,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,8663077,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,5143492,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,4862846,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-07-01
Baumbach Kuvalis and Jacobson,91551047337401,ahancock25@wsj.com,214-28-9058,7347699,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-07-01
Bednar and Sons,36723912830595,oschroeder2k@ocn.ne.jp,133-95-3943,6585245,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-07-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,7185140,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-07-01
Bogisich O'Keefe and Feil,93842293730171,bogissfh.ss@ss.com,742-63-3038,1639321,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-07-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,9150692,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,9375275,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Ebert Inc,93421312653948,lallans1x@state.gov,778-53-4836,4576383,2023-07-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-07-01
Ebert-Prosacco,99054027518757,bhallad2@parallels.com,682-90-7397,8038785,2023-07-01,150000,7000,157000,Tacoma,1,A vista,41300770,45,LOTE 59,fornecedor,2023-07-01
Feest Inc,51409417459871,mmundow1s@amazon.de,533-64-8495,5853312,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41300780,221,LOTE 02,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,6299298,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,6822613,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,5358109,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,7480340,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,7311128,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
Casper Anderson,12005885504524,rcockman14@twitpic.com,313-34-5254,4884454,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,12605210,453,LOTE 41,fornecedor,2023-07-01
Ebert Inc,93421312653948,lallans1x@state.gov,778-53-4836,3865995,2023-07-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-07-01
Ebert-Prosacco,99054027518757,bhallad2@parallels.com,682-90-7397,4598826,2023-07-01,150000,7000,157000,Tacoma,1,A vista,41300770,45,LOTE 59,fornecedor,2023-07-01
Feest Inc,51409417459871,mmundow1s@amazon.de,533-64-8495,8005113,2023-07-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41300780,221,LOTE 02,fornecedor,2023-07-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,4088238,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-07-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,6096104,2023-07-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-07-01
Hauck-Hackett,96759586124595,hhaddington17@cbc.ca,201-38-1891,6718140,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30/60/90 dias,41301055,1248,,fornecedor,2023-07-01
Baumbach Kuvalis and Jacobson,91551047337401,ahancock25@wsj.com,214-28-9058,8041961,2023-07-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-07-01
Bednar and Sons,36723912830595,oschroeder2k@ocn.ne.jp,133-95-3943,1123305,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-07-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,7709747,2023-07-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-07-01
Bogisich O'Keefe and Feil,,bogissfh.ss@ss.com,742-63-3038,6984996,2023-07-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-07-01
Bosco  Parker and Heller,92944966540051,wglendinningk@europa.eu,835-83-3066,7169715,2023-07-01,110000,5000,115000,Cooper,1,30 dias,12605170,798,LOTE 72,fornecedor,2023-07-01
Botsford Group,82476088679541,dbreakwell2d@unesco.org,286-44-7158,8571524,2023-07-01,70000,3000,73000,Azera,1,Entrada/30/60/90 dias,12605180,170,LOTE 74,fornecedor,2023-07-01
