ID_NF_ENTRADA,DATA_VENCIMENTO,DATA_PGT_EFETUADO,VALOR_PARCELA_PAGO
1,2023-06-01,2023-06-01,57500.00
1,2023-07-01,2023-07-01,57500.00
2,2023-06-01,2023-06-01,24333.33
2,2023-07-01,2023-07-01,24333.33
2,2023-08-01,2023-08-01,24333.33
3,2023-06-01,2023-06-01,115000.00
4,2023-06-01,2023-06-01,73000.00
5,2023-06-01,2023-06-01,73000.00
6,2023-06-01,2023-06-01,57500.00
6,2023-07-01,2023-07-01,47250.00
6,2023-08-01,2023-08-01,47250.00
6,2023-09-01,2023-09-01,
7,2023-06-01,2023-06-01,47250.00
7,2023-07-01,2023-07-01,47250.00
,2023-08-01,2023-08-01,47250.00
7,2023-09-01,2023-09-01,47250.00
8,2023-06-01,2023-06-01,115000.00
9,2023-06-01,2023-06-01,24333.33
9,2023-07-01,2023-07-01,24333.33
9,2023-08-01,2023-08-01,24333.33
10,2023-06-01,2023-06-01,63000.00
10,2023-07-01,2023-07-01,63000.00
10,2023-08-01,2023-08-01,63000.00
11,2023-06-01,2023-06-01,24333.33
11,2023-07-01,,78500.00
12,2023-06-01,2023-06-01,78500.00
12,2023-07-01,2023-07-01,78500.00
13,2023-07-01,,115000.00
14,2023-07-01,2023-07-01,115000.00
15,2023-06-01,2023-06-01,18250.00
15,2023-07-01,2023-07-01,18250.00
15,2023-08-01,2023-08-01,18250.00
15,2023-09-01,2023-09-01,18250.00
16,2023-06-01,2023-06-01,73000.00
16,2023-07-01,2023-07-01,18250.00
16,2023-08-01,2023-08-01,18250.00
16,2023-09-01,2023-09-01,18250.00
17,2023-06-01,2023-06-01,189000.00
18,2023-06-01,2023-06-01,73000.00
19,2023-06-01,2023-06-01,157000.00
20,2023-06-01,2023-06-01,78750.00
20,2023-07-01,2023-07-01,78750.00
20,2023-08-01,2023-08-01,78750.00
20,2023-09-01,2023-09-01,78750.00
