ID_NF_ENTRADA,DATA_VENCIMENTO,DATA_PGT_EFETUADO,VALOR_PARCELA_PAGO
120,2023-09-01,2023-09-01,18250.00
,2023-10-01,2023-10-01,18250.00
120,2023-11-01,,18250.00
121,2023-08-01,2023-08-01,189000.00
122,2023-08-01,2023-08-01,189000.00
123,2023-08-01,2023-08-01,157000.00
124,2023-08-01,2023-08-01,157000.00
125,2023-08-01,2023-08-01,157000.00
126,2023-09-01,2023-09-01,157000.00
127,2023-09-01,2023-09-01,157000.00
128,2023-09-01,2023-09-01,73000.00
129,2023-09-01,2023-09-01,78500.00
129,2023-10-01,2023-10-01,78500.00
130,2023-09-01,2023-09-01,78500.00
130,2023-10-01,2023-10-01,78500.00
131,2023-08-01,2023-08-01,78750.00
131,2023-09-01,2023-09-01,78750.00
131,2023-10-01,2023-10-01,78750.00
131,2023-11-01,2023-11-01,78750.00
132,2023-08-01,2023-08-01,78750.00
132,2023-09-01,2023-09-01,78750.00
132,2023-10-01,2023-10-01,78750.00
132,2023-11-01,2023-11-01,78750.00
